id,type,time,author,author_id,re_tweeter,associated_tweet,text,links,hashtags,mentions,reply_count,favorite_count,retweet_count
1166692284047314944,tweet,1566996091000,5hirish,428808036,,1166692284047314944,I will always revisit this from time to time...https://twitter.com/ProfFeynman/status/1166399456599773190 …,['https://t.co/a5nFbdINU5'],[],[],0,2,0
1198543888832704512,tweet,1574590105000,historleans,2149490761,5hirish,1198543888832704512,"I'm sorry, but I am not remotely impressed by academics working 100 hours/week. First of all, you cannot tell me that you maintain the same productivity for 100 hours as you could for 40-50. And you are setting a horrible example for junior scholars in terms of self-exploitation.",[],[],[],310,53516,6868
1196443196265504768,tweet,1574089261000,F1,69008563,5hirish,1196443196265504768,1.82 seconds!!!Another WORLD RECORD for @redbullracing #BrazilGP #F1pic.twitter.com/kpUETp0uZh,['https://t.co/kpUETp0uZh'],"['#BrazilGP', '#F1']",['@redbullracing'],344,47548,8132
1196449734069669889,tweet,1574090820000,shl,16347964,5hirish,1196449734069669889,"Exciting news! Found the code for gumroad v1 (the weekend project). Will be releasing all of the source code soon, so you can see:- I wasn't a great engineer- I was good enough to ship something- You can do it too!",[],[],[],20,1125,122
1196444064817831936,tweet,1574089468000,LandoNorris,516464106,5hirish,1196444064817831936,"Tasted a little bit of champagne yesterday, help me taste a little bit more at the end of the year  Autosport have nominated for a couple of awards this year. Appreciate any votes you send my way https://awardsvoting.autosport.com/",['https://t.co/ih79BACBb9'],[],[],194,10457,476
1196379012433633285,tweet,1574073958000,wtf1official,87541152,5hirish,1196379012433633285,Fixed @Carlossainz55pic.twitter.com/8eNiFPxpGe,['https://t.co/8eNiFPxpGe'],[],['@Carlossainz55'],52,11444,993
1196336759371681793,tweet,1574063884000,5hirish,428808036,,1196336759371681793,Swiggy Vs Zomato: Which is better? UI showdown by @team_bizzbucket #Swiggy #Zomatohttps://bizzbucket.co/swiggy-vs-zomato-which-is-better/ …,['https://t.co/RgbVOieR2i'],"['#Swiggy', '#Zomato']",['@team_bizzbucket'],0,2,0
1196084123728826369,tweet,1574003651000,wbuxtonofficial,20600235,5hirish,1196084123728826369,"As Bruno Senna raises the Brazilian flag from his Uncle’s car, Interlagos erupts in a chorus of Ole Ole Ole Ole, Senna Senna. If you want to know how much he still means to this place, there are big burly men crying ugly tears out here. It’s beautiful.",[],[],[],20,2652,317
1196084752626962432,tweet,1574003801000,profgalloway,9273802,5hirish,1196084752626962432,"Obama warns Dems not to move too far left: ""The average American doesn’t think we have to completely tear down the system and remake it.""""We have to be rooted in reality"" https://www.vox.com/policy-and-politics/2019/11/16/20968290/obama-2020-democratic-presidential-primary?utm_campaign=vox&utm_content=chorus&utm_medium=social&utm_source=twitter …",['https://t.co/Ddx4wUO2Kc'],[],[],66,693,77
1195617370984701952,tweet,1573892369000,HaramiParindey,117800926,5hirish,1195617370984701952,"Friend in Delhi was teasing me by sending me pictures of the scrumptious street food. So, I sent him the pictures of clear sky from Bengaluru to make it even.",[],[],[],21,1817,109
